city, A1
complete, A1
box, A1
care, A2
civil, B2
completely, A2
boy, A1
career, A1
claim, B1
complex, B1
boyfriend, A1
careful, A2
class, A1
complicated, B2
component, B2
could, A1
death, A2
different, A1
computer, A1
council, B2
debate, B2
differently, A2
concentrate, B1
count, A2
debt, B2
difficult, A1
concentration, B2
country, A1
decade, B1
difficulty, B1
concept, B2
countryside, B1
December, A1
dig, B2
concern, B2
county, B2
decent, B2
digital, A2
concerned, B2
couple, A2
decide, A1
dinner, A1
concert, A1
courage, B2
decision, A2
direct, A2
conclude, B1
course, A1
declare, B2
direction, A2
conclusion, B1
court, B1
decline, B2
directly, B1
condition, A2
cousin, A1
decorate, B1
director, A2
conduct, B2
cover, A2
decoration, B2
dirt, B1
conference, A2
covered, B1
decrease, B2
dirty, A1
confidence, B2
cow, A1
deep, A2
disadvantage, B1
confident, B1
crash, B2
deeply, B2
disagree, A2
confirm, B1
crazy, A2
defeat, B2
disappear, A2
conflict, B2
cream, A1
defence, B2
disappointed, B1
confuse, B1
create, A1
defend, B2
disappointing, B1
confused, B1
creation, B2
define, B1
disaster, A2
confusing, B2
creative, A2
definite, B1
disc, B2
connect, A2
creature, B2
definitely, A2
discipline, B2
connected, A2
credit, A2
definition, B1
discount, B1
connection, B1
crew, B2
degree, A2
discover, A2
conscious, B2
crime, A2
delay, B2
discovery, A2
consequence, B1
criminal, A2
deliberate, B2
discuss, A1
conservative, B2
crisis, B2
deliberately, B2
discussion, A2
consider, A2
criterion, B2
delicious, A1
disease, A2
consideration, B2
critic, B2
delight, B2
dish, A1
consist, B1
critical, B2
delighted, B2
dishonest, B2
consistent, B2
criticism, B2
deliver, B1
dislike, B1
constant, B2
criticize, B2
delivery, B2
dismiss, B2
constantly, B2
crop, B2
demand, B2
display, B2
construct, B2
cross, A2
demonstrate, B2
distance, A2
construction, B2
crowd, A2
dentist, A2
distribute, B2
consume, B1
crowded, A2
deny, B2
distribution, B2
consumer, B1
crucial, B2
department, A2
district, B2
contact, B1
cruel, B1
departure, B1
divide, B1
contain, A2
cry, A2
depend, A2
division, B2
container, B1
cultural, B1
depressed, B2
divorced, A2
contemporary, B2
culture, A1
depressing, B2
do, A1
content, B1
cup, A1
depth, B2
doctor, A1
contest, B2
cupboard, A2
describe, A1
document, A2
context, A2
cure, B2
description, A1
documentary, B1
continent, A2
curly, A2
desert, A2
dog, A1
continue, A2
currency, B1
deserve, B2
dollar, A1
continuous, B1
current, B1
design, A1
domestic, B2
contract, B2
currently, B1
designer, A2
dominate, B2
contrast, B1
curtain, B1
desire, B2
donate, B1
contribute, B2
curve, B2
desk, A1
door, A1
contribution, B2
curved, B2
desperate, B2
double, A2
control, A2
custom, B1
despite, B1
convenient, B1
customer, A1
