deposit, B2
collaboration, C1
conservation, B2
craft, B2
depression, B2
collective, C1
conserve, C1
crawl, C1
deprive, C1
collector, B2
considerable, B2
creativity, B2
deputy, C1
collision, C1
considerably, B2
creator, C1
derive, B2
colonial, C1
consistency, C1
credibility, C1
descend, C1
colony, B2
consistently, B2
credible, C1
descent, C1
colourful, B2
consolidate, C1
creep, C1
designate, C1
columnist, C1
conspiracy, B2
critically, B2
desirable, C1
combat, C1
constituency, C1
critique, C1
desktop, C1
comic, B2
constitute, C1
crown, C1
desperately, B2
commander, B2
constitution, C1
crude, C1
destruction, B2
commence, C1
constitutional, C1
cruise, B2
destructive, C1
commentary, C1
constraint, C1
crush, C1
detain, C1
detection, C1
downtown, B2
enthusiast, C1
fame, B2
detention, C1
drain, C1
entitle, C1
fantasy, B2
deteriorate, C1
dramatically, B2
entity, C1
fare, B2
determination, B2
drift, C1
entrepreneur, B2
fatal, C1
devastate, C1
driving, C1
envelope, B2
fate, C1
devil, C1
drought, B2
epidemic, C1
favourable, C1
devise, C1
drown, C1
equality, C1
feat, C1
devote, B2
dual, C1
equation, C1
federal, B2
diagnose, C1
dub, C1
equip, B2
feeding, C1
diagnosis, C1
dull, B2
equivalent, B2
feminist, C1
dictate, C1
dumb, C1
era, B2
fever, B2
dictator, C1
dump, B2
erect, C1
fibre, C1
differ, B2
duo, C1
erupt, B2
fierce, C1
differentiate, C1
duration, B2
escalate, C1
film-maker, C1
dignity, C1
dynamic, B2
essence, C1
filter, C1
dilemma, C1
eager, C1
essentially, B2
fine, C1
dimension, C1
earnings, C1
establishment, C1
firearm, C1
diminish, C1
ease, C1
eternal, C1
firefighter, B2
dip, C1
echo, C1
ethic, B2
firework, B2
diplomat, C1
ecological, C1
ethnic, B2
firm, B2
diplomatic, C1
economics, B2
evacuate, C1
firmly, B2
directory, C1
economist, B2
evaluation, B2
fit, C1
disability, B2
editorial, B2
evident, B2
fixture, C1
disabled, B2
educator, C1
evoke, C1
flavour, B2
disagreement, B2
effectiveness, C1
evolution, B2
flaw, C1
disappoint, B2
efficiency, C1
evolutionary, C1
flawed, C1
disappointment, B2
efficiently, B2
evolve, B2
flee, C1
disastrous, C1
ego, C1
exaggerate, C1
fleet, C1
discard, C1
elaborate, C1
exceed, B2
flesh, C1
discharge, C1
elbow, B2
excellence, C1
flexibility, C1
disclose, C1
electoral, C1
exception, B2
flourish, C1
disclosure, C1
electronics, B2
exceptional, C1
fluid, C1
discourage, B2
elegant, B2
excess, C1
fond, B2
discourse, C1
elementary, B2
excessive, B2
fool, B2
discretion, C1
elevate, C1
exclude, B2
footage, C1
discrimination, C1
eligible, C1
exclusion, C1
forbid, B2
dismissal, C1
eliminate, B2
exclusive, C1
forecast, B2
disorder, B2
elite, C1
exclusively, C1
foreigner, C1
displace, C1
embark, C1
execute, C1
forge, C1
disposal, C1
embarrassment, C1
execution, C1
format, B2
dispose, C1
embassy, C1
exert, C1
formation, B2
dispute, C1
embed, C1
exhibit, B2
formerly, B2
disrupt, C1
embody, C1
exile, C1
formula, C1
disruption, C1
embrace, B2
exit, B2
formulate, C1
dissolve, C1
emergence, C1
exotic, B2
forth, C1
distant, B2
emission, B2
expansion, B2
forthcoming, C1
distinct, B2
emotionally, B2
expenditure, C1
fortunate, B2
distinction, C1
